feature,human_mean,ai_mean,diff_pct,mwu_pval,effect_size_r,significance
punct_density,0.095,0.117,23.2,0.0,0.3476,***
func_word_ratio,0.3733,0.3461,-7.29,0.0,-0.2632,***
avg_word_length,5.7099,6.0424,5.82,0.0,0.2337,***
flesch_re,30.6837,21.2726,-30.67,0.0,-0.182,***
long_word_ratio,0.3883,0.4282,10.29,0.0,0.176,***
avg_syllables,1.9332,2.0341,5.22,0.0,0.1689,***
avg_sent_len,12.4136,13.2808,6.99,5e-06,0.1253,***
hapax_ratio,0.8986,0.8908,-0.87,1.8e-05,-0.1172,***
gunning_fog,16.3488,17.3249,5.97,0.000623,0.0937,***
ttr,0.9438,0.9396,-0.44,0.002011,-0.0844,**
n_sentences,3.0052,2.8949,-3.67,0.000498,-0.0836,***
