,Child,Adolescent,Adult,Combined
A10_Score,0.05582664097294621,0.07549233102559741,0.02870837984309948,0.02772032415667144
A1_Score,0.03535876522454493,0.011199404052399017,0.01709638558180942,0.012082846428823442
A2_Score,0.009725129369615528,0.014383513785273338,0.01190849623585363,0.006443140012927607
A3_Score,0.027938046756021063,0.07028115602786793,0.03276442474637074,0.03350182337840757
A4_Score,0.1057988157815587,0.05876496281325456,0.04668605147865814,0.05732631438834564
A5_Score,0.030299355022417464,0.08183436756527603,0.10386474782322967,0.06164015628124042
A6_Score,0.03145865839946415,0.04609817287205492,0.07445840405005812,0.08769921113234078
A7_Score,0.018244452704492396,0.026621106636154752,0.017141611375943045,0.01662633946585923
A8_Score,0.045596836622063715,0.038423332668376886,0.010015572113707133,0.009658070410653544
A9_Score,0.0701036229052913,0.024570430253800245,0.1425504757618605,0.11896161554906919
age,0.012137889614455423,0.022797351705987717,0.010421229020692266,0.008434702640549435
austim,0.002641874119463415,0.005036557454473158,0.0021103762643216112,0.0013515288772369771
gender,0.0031360147859919724,0.009364974851757612,0.0017132186186669567,0.0017473458401234658
jundice,0.0035857162579882584,0.006517968520863045,0.0011212266256574218,0.0013618227390649836
result,0.546895468635328,0.5049576944953181,0.49868251306053935,0.554842196254519
used_app_before,0.0012527128283574623,0.0036566752715451547,0.0007568873995326068,0.0006025624441672061
