Model,Accuracy,Precision,Recall,F1,ROC-AUC,CV-AUC
Extra Trees,0.9,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.959047619047619,0.8916666666666668
Logistic Regression,0.89,0.88,0.7333333333333333,0.8,0.959047619047619,0.9098214285714287
AdaBoost,0.88,0.8,0.8,0.8,0.9576190476190476,0.8699404761904761
CatBoost,0.88,0.8461538461538461,0.7333333333333333,0.7857142857142857,0.9495238095238094,0.8889880952380953
XGBoost,0.88,0.8214285714285714,0.7666666666666667,0.7931034482758621,0.9457142857142857,0.878422619047619
SVM (RBF),0.89,0.88,0.7333333333333333,0.8,0.9452380952380952,0.8869047619047621
Voting (Soft),0.86,0.7857142857142857,0.7333333333333333,0.7586206896551724,0.9423809523809523,0.8837797619047618
Stacking (LR),0.87,0.8148148148148148,0.7333333333333333,0.7719298245614035,0.9419047619047619,0.8858630952380953
Gaussian Naive Bayes,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9395238095238095,0.884077380952381
LightGBM,0.86,0.7857142857142857,0.7333333333333333,0.7586206896551724,0.9376190476190476,0.8813988095238094
Random Forest,0.89,0.8518518518518519,0.7666666666666667,0.8070175438596491,0.9342857142857144,0.8891369047619048
Bagging (DT),0.88,0.8214285714285714,0.7666666666666667,0.7931034482758621,0.9271428571428572,0.8638392857142856
Gradient Boosting,0.87,0.7741935483870968,0.8,0.7868852459016393,0.9209523809523809,0.8723214285714285
Decision Tree,0.85,0.8,0.6666666666666666,0.7272727272727273,0.8997619047619048,0.7258184523809523
KNN (k=5),0.87,0.9473684210526315,0.6,0.7346938775510204,0.8788095238095238,0.776860119047619
SGD Classifier,0.88,0.8,0.8,0.8,0.8571428571428571,0.8607142857142855
Dummy-MostFrequent,0.7,0.0,0.0,0.0,0.5,0.5
Dummy-Stratified,0.54,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.45238095238095244,0.47619047619047616
