Test,Feature,Statistic,p-value
Shapiro-Wilk,perf_score,0.9793501093725677,0.004815613122151377
D'Agostino,perf_score,9.309989051083111,0.009513965325628882
Shapiro-Wilk,protein_per_kg,0.93752730583831,1.404108252870101e-07
D'Agostino,protein_per_kg,502.6984580076991,6.924952726109147e-110
Shapiro-Wilk,vo2max,0.9941072310389267,0.6165513840762993
D'Agostino,vo2max,3.4939758432689088,0.17429815327020684
Shapiro-Wilk,il6_pgml,0.9917470809449531,0.3161168514194721
D'Agostino,il6_pgml,6.47914733770541,0.03918059544700349
Shapiro-Wilk,crp_mgl,0.970565267576121,0.00033158704803614624
D'Agostino,crp_mgl,16.68326278476368,0.00023838312912225114
Kruskal-Wallis,perf_score,1.554819900784059,0.45959484451900257
Kruskal-Wallis,protein_per_kg,9.177350402815136,0.01016631777938449
Kruskal-Wallis,immune_composite,1.979898385081242,0.3715955703692828
Mann-Whitney U,perf_score,52500.0,2.4185608524900202e-70
Mann-Whitney U,protein_per_kg,32089.0,8.026587151464251e-05
Mann-Whitney U,vo2max,46894.5,3.411623619808377e-44
Mann-Whitney U,il6_pgml,24143.5,0.15487745410268933
Mann-Whitney U,crp_mgl,25847.0,0.7856279634441838
ANOVA,perf_score,0.6503248748888517,0.5830363821067969
Chi-Square,immune_risk x perf,0.0,1.0
