,score,detected,ref_mean,cur_mean
Age,0.009,False,42.2609,41.88
Sleep Duration,0.0054,False,7.1398,7.1013
Quality of Sleep,0.0033,False,7.3177,7.2933
Physical Activity Level,0.0374,False,59.6187,57.3867
Stress Level,0.0027,False,5.388,5.3733
Heart Rate,0.0109,False,70.0134,70.7733
Daily Steps,0.0404,False,6872.5753,6594.6667
Systolic_BP,0.0001,False,128.5552,128.5467
Diastolic_BP,0.0005,False,84.6589,84.6133
Pulse_Pressure,0.0008,False,43.8963,43.9333
BP_Ratio,0.0003,False,1.5199,1.5203
MAP,0.0003,False,99.2839,99.252
Gender_enc,0.0365,False,0.5017,0.52
BMI_WHO_enc,0.0276,False,0.8227,0.8
BP_Category_enc,0.0033,False,1.4849,1.48
Occupation_enc,0.0042,False,3.7759,3.76
Stress_Sleep_Index,0.0078,False,0.7866,0.7927
Activity_Efficiency,0.0148,False,123.4581,125.2889
Sleep_Debt,0.0356,False,0.9077,0.94
Wellness_Score,0.0211,False,63.5661,62.2267
Cardio_Risk_Index,0.0146,False,1.8392,1.866
Age_Stress_Interaction,0.0216,False,221.6421,216.8533
Sleep_Activity_Synergy,0.0356,False,4.2858,4.1332
HTN_Risk,0.0079,False,0.8863,0.8933
BMI_Stress_Risk,0.0059,False,2.5753,2.56
Age_Cohort_enc,0.0271,False,1.6856,1.64
Sleep_Quality_Cat_enc,0.0747,False,1.3545,1.2533
