,cv_acc,cv_acc_std,cv_f1,cv_f1_std,test_acc,test_f1,test_auc,kappa
CatBoost,0.8996,0.0154,0.8731,0.0247,0.96,0.9352,0.9982,0.9298
XGBoost (Tuned),0.8963,0.0129,0.8692,0.0198,0.96,0.9352,0.9982,0.9298
SVM (RBF),0.8963,0.0197,0.8678,0.0334,0.96,0.9352,0.9973,0.9298
LightGBM,0.8795,0.0325,0.8539,0.0456,0.96,0.9431,0.9913,0.9305
XGBoost,0.8796,0.0221,0.8535,0.0292,0.9333,0.9121,0.9898,0.8821
Logistic Regression,0.8793,0.0476,0.8522,0.0598,0.9467,0.9276,0.9849,0.9065
K-Nearest Neighbors,0.8828,0.0304,0.851,0.0427,0.9333,0.9108,0.9905,0.882
Gradient Boosting,0.8762,0.0228,0.8496,0.0295,0.92,0.8906,0.9834,0.8585
Random Forest,0.8762,0.0228,0.8483,0.0297,0.96,0.9431,0.9951,0.9305
Extra Trees,0.8596,0.044,0.8281,0.0556,0.9333,0.9012,0.9671,0.8842
