,missing_count,missing_pct,severity
City,0,0.0,None
Country,0,0.0,None
Latitude,0,0.0,None
Longitude,0,0.0,None
Annual_Sunlight_Hours,0,0.0,None
Daily_Peak_Sun_Hours,0,0.0,None
GHI_kWh_per_m2,0,0.0,None
Electricity_Price_USD_per_kWh,0,0.0,None
Solar_Installations_Count,0,0.0,None
Avg_System_Cost_USD,0,0.0,None
Avg_Annual_Production_kWh,0,0.0,None
Estimated_Annual_Savings_USD,0,0.0,None
Payback_Period_Years,0,0.0,None
ROI_Percentage,0,0.0,None
CO2_Reduction_Tons_per_Year,0,0.0,None
Solar_Viability_Score,0,0.0,None
Region,0,0.0,None
