,column,current_dtype,suggested_dtype,savings
0,City,object,string,True
1,Country,object,string,True
2,Latitude,float64,float32,True
3,Longitude,float64,float32,True
4,Annual_Sunlight_Hours,int64,uint16,True
5,Daily_Peak_Sun_Hours,float64,float32,True
6,GHI_kWh_per_m2,float64,float32,True
7,Electricity_Price_USD_per_kWh,float64,float32,True
8,Solar_Installations_Count,int64,int32,True
9,Avg_System_Cost_USD,int64,uint16,True
10,Avg_Annual_Production_kWh,int64,uint16,True
11,Estimated_Annual_Savings_USD,float64,float32,True
12,Payback_Period_Years,float64,float32,True
13,ROI_Percentage,float64,float32,True
14,CO2_Reduction_Tons_per_Year,float64,float32,True
15,Solar_Viability_Score,int64,uint8,True
16,Region,object,category,True
