,City,Country,Latitude,Longitude,Annual_Sunlight_Hours,Daily_Peak_Sun_Hours,GHI_kWh_per_m2,Electricity_Price_USD_per_kWh,Solar_Installations_Count,Avg_System_Cost_USD,Avg_Annual_Production_kWh,Estimated_Annual_Savings_USD,Payback_Period_Years,ROI_Percentage,CO2_Reduction_Tons_per_Year,Solar_Viability_Score,Region,GHI_Efficiency_Ratio,Peak_Hour_Concentration,Effective_Daily_kWh,Abs_Latitude,Hemisphere,Cost_per_kWh_Produced,Savings_Yield_Pct,Savings_per_CO2_Ton,Payback_Tier,ROI_Band,Log_Installations,Viability_Tier,CO2_per_MWh,Region_Encoded,Hemisphere_Encoded,GHI_kWh_per_m2_Scaled,Annual_Sunlight_Hours_Scaled,ROI_Percentage_Scaled,Payback_Period_Years_Scaled,Solar_Viability_Score_Scaled,Log_Installations_Scaled
0,New York,United States,40.71,-74.01,2500,6.8,4.5,0.15,142000,15000,11250,1687.5,8.9,11.2,4.5,56,North America,1.8,0.9928,30.82191780821918,40.71,Northern,1.3333333333333333,11.25,375.0,Moderate (7-10yr),High (11-14%),11.863589378812122,Established (55-65),0.4,4,0,-0.03156621851816415,0.15354496153251418,0.12881653977202223,-0.35788915423901174,0.15437142997862394,1.5804471309641304
1,Los Angeles,United States,34.05,-118.24,3200,8.8,5.8,0.15,142000,15000,14400,2160.0,6.9,14.5,5.76,67,North America,1.8124999999999998,1.0037500000000001,39.45205479452055,34.05,Northern,1.0416666666666667,14.399999999999999,375.0,Fast (<7yr),Premium (>14%),11.863589378812122,Premium (>65),0.39999999999999997,4,0,1.2815884718374642,1.367453363295452,1.3883560397651409,-1.1701198588949253,1.2864285831551994,1.5804471309641304
2,Miami,United States,25.76,-80.19,3000,8.2,5.3,0.15,142000,15000,13500,2025.0,7.4,13.5,5.4,63,North America,1.7666666666666666,0.9976666666666665,36.986301369863014,25.76,Northern,1.1111111111111112,13.5,375.0,Moderate (7-10yr),High (11-14%),11.863589378812122,Established (55-65),0.4,4,0,0.7765289755468379,1.020622391363184,1.00667740340359,-0.9670621827309469,0.8747714365455356,1.5804471309641304
3,Phoenix,United States,33.45,-112.07,3800,10.4,6.5,0.15,142000,15000,17100,2565.0,5.8,17.2,6.84,73,North America,1.7105263157894737,0.9989473684210526,46.84931506849315,33.45,Northern,0.8771929824561403,17.1,375.0,Fast (<7yr),Premium (>14%),11.863589378812122,Premium (>65),0.39999999999999997,4,0,1.9886717666443414,2.4079462790922554,2.4188883579413285,-1.616846746455678,1.9039143030696952,1.5804471309641304
4,Chicago,United States,41.88,-87.63,2300,6.3,4.2,0.15,142000,15000,10350,1552.5,9.7,10.3,4.14,53,North America,1.8260869565217392,0.999782608695652,28.356164383561644,41.88,Northern,1.4492753623188406,10.35,375.00000000000006,Moderate (7-10yr),Medium (8-11%),11.863589378812122,Developing (45-55),0.39999999999999997,4,0,-0.33460191629253977,-0.19328601039975374,-0.21469423295337312,-0.03299687237664678,-0.15437142997862394,1.5804471309641304
5,Berlin,Germany,52.52,13.4,1650,4.5,3.2,0.15,18500,15000,7425,1113.75,13.5,7.4,2.97,41,Europe,1.9393939393939397,0.9954545454545454,20.34246575342466,52.52,Northern,2.0202020202020203,7.425,375.0,Very Slow (>13yr),Low (<8%),9.825580063659602,Low (≤45),0.4,2,0,-1.3447209088737926,-1.3204866691796244,-1.3215622784018712,1.5102414664695893,-1.3893428698076153,0.5340956627384529
6,Munich,Germany,48.14,11.58,1750,4.8,3.4,0.15,18500,15000,7875,1181.25,12.7,7.9,3.15,43,Europe,1.9428571428571428,1.0011428571428571,21.575342465753426,48.14,Northern,1.9047619047619047,7.875,375.0,Slow (10-13yr),Low (<8%),9.825580063659602,Low (≤45),0.39999999999999997,2,0,-1.1426971103575423,-1.1470711832134906,-1.1307229602210958,1.1853491846072235,-1.1835142965027834,0.5340956627384529
7,London,United Kingdom,51.51,-0.13,1500,4.1,2.9,0.15,6500,15000,6750,1012.5,14.8,6.8,2.7,37,Europe,1.9333333333333333,0.9976666666666665,18.493150684931507,51.51,Northern,2.2222222222222223,6.75,375.0,Very Slow (>13yr),Low (<8%),8.77971129020447,Low (≤45),0.4,2,0,-1.6477566066481686,-1.5806098981288255,-1.550569460218802,2.0381914244959334,-1.8010000164172792,-0.002872602587787217
8,Manchester,United Kingdom,53.48,-2.24,1450,4.0,2.8,0.15,6500,15000,6525,978.75,15.3,6.5,2.61,36,Europe,1.9310344827586206,1.006896551724138,17.876712328767123,53.48,Northern,2.2988505747126435,6.525,375.0,Very Slow (>13yr),Low (<8%),8.77971129020447,Low (≤45),0.39999999999999997,2,0,-1.748768505906294,-1.6673176411118924,-1.6650730511272673,2.241249100659912,-1.9039143030696952,-0.002872602587787217
9,Paris,France,48.86,2.35,1750,4.8,3.3,0.15,4200,15000,7875,1181.25,12.7,7.9,3.15,43,Europe,1.8857142857142857,1.0011428571428571,21.575342465753426,48.86,Northern,1.9047619047619047,7.875,375.0,Slow (10-13yr),Low (<8%),8.343077871169383,Low (≤45),0.39999999999999997,2,0,-1.2437090096156675,-1.1470711832134906,-1.1307229602210958,1.1853491846072235,-1.1835142965027834,-0.22704823107335612
