,R2,RMSE,MAE,MAPE
CAT_Tuned,0.9026661862556737,5.140001278663,4.082576363240268,6.158302948342167
Stacking,0.9017221773627876,5.164866731101297,4.145192184977617,6.2624761274145
Voting,0.9010129249503313,5.183470159056303,4.1695091131055175,6.314977616559651
XGB_Tuned,0.8997013091861603,5.217698606330592,4.159984112833882,6.305905511807261
Ridge_CV,0.8951579082700232,5.334567262464395,4.1700467535406345,6.245491535294026
BayesianRidge,0.8943565719849577,5.354915220916162,4.178428271154492,6.234234558646587
Lasso_CV,0.8942188715342889,5.358404004495745,4.171881410903764,6.200063264341934
LGB_Tuned,0.891418440360825,5.428869406004325,4.393812089242034,6.679045582835845
ElasticNet,0.8883074547830015,5.506091835971792,4.261617318664032,6.3005252077822105
HuberReg,-18.559153970175604,72.8628894511937,70.97582417379964,99.99999999519021
