,R2,RMSE,MAE,MAPE,Tier
ADV_CAT_Tuned,0.9026661862556737,5.140001278663,4.082576363240268,6.158302948342167,Advanced ML
ADV_Stacking,0.9017221773627876,5.164866731101297,4.145192184977617,6.2624761274145,Advanced ML
ADV_Voting,0.9010129249503313,5.183470159056303,4.1695091131055175,6.314977616559651,Advanced ML
ADV_XGB_Tuned,0.8997013091861603,5.217698606330592,4.159984112833882,6.305905511807261,Advanced ML
BL_CatBoost,0.8959568801937348,5.3142017743127345,4.318042293366864,6.5463247760864665,Baseline ML
BL_RandomForest,0.8955868771512248,5.3236426955093945,4.179714285714287,6.289794198856638,Baseline ML
BL_LinearRegression,0.8954383052710172,5.327428917107815,4.168340719555683,6.260671601332314,Baseline ML
ADV_Ridge_CV,0.8951579082700232,5.334567262464395,4.1700467535406345,6.245491535294026,Advanced ML
BL_Lasso,0.8948433280410792,5.342564491536039,4.169849116080654,6.217745062760649,Baseline ML
ADV_BayesianRidge,0.8943565719849577,5.354915220916162,4.178428271154492,6.234234558646587,Advanced ML
ADV_Lasso_CV,0.8942188715342889,5.358404004495745,4.171881410903764,6.200063264341934,Advanced ML
BL_Ridge,0.8932357368834337,5.383247040985399,4.191208398447606,6.233246365087805,Baseline ML
ADV_LGB_Tuned,0.891418440360825,5.428869406004325,4.393812089242034,6.679045582835845,Advanced ML
ADV_ElasticNet,0.8883074547830015,5.506091835971792,4.261617318664032,6.3005252077822105,Advanced ML
BL_XGBoost,0.8623363334862932,6.112811772118986,4.682956651540902,7.021372593624376,Baseline ML
BL_KNN,0.8224857253096272,6.941414809708434,5.546153846153847,8.484853290694716,Baseline ML
BL_DecisionTree,0.7761215010820082,7.7953846587594375,5.747252747252747,8.634579743880343,Baseline ML
DL_ANN_Deep,0.5142498375068132,11.482536488532313,9.402414363819164,13.595088881060189,Deep Learning
BL_SVR,-0.00282599340736045,16.498488109221096,13.447252747252746,21.21699978472543,Baseline ML
DL_ANN_Baseline,-0.49253826893489094,20.127697396718332,16.51820994733454,24.579070686866885,Deep Learning
DL_ResNet_Style,-18.235072908000802,72.25672529700998,70.39825991241486,99.1981238750919,Deep Learning
DL_Wide_Deep,-18.524887488154132,72.79903573349351,70.89592789307154,99.84901600805345,Deep Learning
ADV_HuberReg,-18.559153970175604,72.8628894511937,70.97582417379964,99.99999999519021,Advanced ML
