category,churn_rate,n_customers,churn_rate_pct,feature
Female,0.2695951765719208,3483,26.96,gender
Male,0.26204564666103125,3549,26.2,gender
Senior,0.4168126094570928,1142,41.68,SeniorCitizen_Label
Non-Senior,0.2365025466893039,5890,23.65,SeniorCitizen_Label
No,0.3297609233305853,3639,32.98,Partner
Yes,0.1971706454465075,3393,19.72,Partner
No,0.3127914048246503,4933,31.28,Dependents
Yes,0.15531205335874226,2099,15.53,Dependents
Yes,0.26747481108312343,6352,26.75,PhoneService
No,0.25,680,25.0,PhoneService
Yes,0.28648466464442196,2967,28.65,MultipleLines
No,0.25081240768094537,3385,25.08,MultipleLines
No phone service,0.25,680,25.0,MultipleLines
Fiber optic,0.4189276485788114,3096,41.89,InternetService
DSL,0.18998344370860928,2416,19.0,InternetService
No,0.07434210526315789,1520,7.43,InternetService
No,0.4177866742922505,3497,41.78,OnlineSecurity
Yes,0.14640198511166252,2015,14.64,OnlineSecurity
No internet service,0.07434210526315789,1520,7.43,OnlineSecurity
No,0.39941690962099125,3087,39.94,OnlineBackup
Yes,0.2156701030927835,2425,21.57,OnlineBackup
No internet service,0.07434210526315789,1520,7.43,OnlineBackup
No,0.3914027149321267,3094,39.14,DeviceProtection
Yes,0.22539288668320925,2418,22.54,DeviceProtection
No internet service,0.07434210526315789,1520,7.43,DeviceProtection
No,0.41647465437788017,3472,41.65,TechSupport
Yes,0.15196078431372548,2040,15.2,TechSupport
No internet service,0.07434210526315789,1520,7.43,TechSupport
No,0.3353506585973656,2809,33.54,StreamingTV
Yes,0.30114687384387717,2703,30.11,StreamingTV
No internet service,0.07434210526315789,1520,7.43,StreamingTV
No,0.33728874505573536,2781,33.73,StreamingMovies
Yes,0.29952398388868545,2731,29.95,StreamingMovies
No internet service,0.07434210526315789,1520,7.43,StreamingMovies
Month-to-month,0.4270967741935484,3875,42.71,Contract
One year,0.11277173913043478,1472,11.28,Contract
Two year,0.028486646884272996,1685,2.85,Contract
Yes,0.33589251439539347,4168,33.59,PaperlessBilling
No,0.16375698324022347,2864,16.38,PaperlessBilling
Electronic check,0.4528541226215645,2365,45.29,PaymentMethod
Mailed check,0.19201995012468828,1604,19.2,PaymentMethod
Bank transfer (automatic),0.16731517509727625,1542,16.73,PaymentMethod
Credit card (automatic),0.1525312294543064,1521,15.25,PaymentMethod
1-12 mo,0.4767816091954023,2175,47.68,tenure_group
13-24 mo,0.287109375,1024,28.71,tenure_group
25-36 mo,0.21634615384615385,832,21.63,tenure_group
37-48 mo,0.19028871391076116,762,19.03,tenure_group
49-60 mo,0.14423076923076922,832,14.42,tenure_group
61-72 mo,0.06609808102345416,1407,6.61,tenure_group
73-84 mo,,0,,tenure_group
High,0.340734415029889,2342,34.07,charge_tier
Mid,0.2976545842217484,2345,29.77,charge_tier
Low,0.15906183368869936,2345,15.91,charge_tier
